programID,season,workID,composerLastName,composerFirstName,workTitle,OpusNumber,conductorLastName,conductorFirstName
2598,1935-36,2369*,Schoenberg,  Arnold,VERKLAERTE NACHT (TRANSFIGURED NIGHT), OP. 4,Klemperer, Otto
4346,1935-36,1886*,Bach,  Johann  Sebastian,SUITE NO. 2,  B MINOR,Klemperer, Otto
5182,1935-36,6504*1,Smyth,  Ethel,WRECKERS, THE,Beecham, Thomas
10064,1935-36,9625*,Riegel,  Heinrich  Joseph,SINFONIA, IN D,Lange, Hans
5202,1935-36,18*,Vaughan Williams,  Ralph,NORFOLK RHAPSODY NO. 1, E MINOR,Beecham, Thomas
5210,1935-36,6709*16,Weber,  Carl  Maria Von,FREISCHUTZ, DER,Toscanini, Arturo
6903,1935-36,6709*16,Weber,  Carl  Maria Von,FREISCHUTZ, DER,Toscanini, Arturo
5214,1935-36,3460*,Bach,  Johann  Sebastian,BRANDENBURG CONCERTO NO. 2 IN F MAJOR, BWV 1047,Toscanini, Arturo
1607,1935-36,52135*1,Haydn,  Franz  Joseph,SYMPHONY NO. 104, D MAJOR (LONDON),Schelling, Ernest
10065,1935-36,9627*,Knecht,  Justin  Heinrich,SYMPHONY, GRAND (LE PORTRAIT MUSICAL DE LA NATURE),Lange, Hans
5598,1935-36,2197*,Handel,  George  Frideric,CONCERTO, ORGAN,Lange, Hans
7340,1935-36,52512*,Mendelssohn,  Felix,HEBRIDES (FINGAL'S CAVE) OVERTURE, OP.26,Lange, Hans
5610,1935-36,9512*,Vivaldi,  Antonio,CONCERTO, VIOLIN,Toscanini, Arturo
7342,1935-36,51872*,Brahms,  Johannes,SYMPHONY NO. 2 IN D MAJOR, OP. 73,Toscanini, Arturo
5623,1935-36,52429*,Beethoven,  Ludwig  van,SYMPHONY NO. 1 IN C MAJOR, OP.21,Toscanini, Arturo
7347,1935-36,3460*,Bach,  Johann  Sebastian,BRANDENBURG CONCERTO NO. 2 IN F MAJOR, BWV 1047,Toscanini, Arturo
